id,Name,titleProject_id,class,s,login,password
31,Моторыгин Илья Георгиевич,238,10и,5,Моторыгин_ИГ,y5ECMarI
32,Рыков Тарас Павлович,174,10и,5,Рыков_ТП,P8QNw0X7
33,Иончикова Елизавета Егоровна,169,8д,5,Иончикова_ЕЕ,6CHf6g3i
34,Смолькина Алиса Егоровна,441,7г,5,Смолькина_АЕ,2tOC135D
35,Оболенин Герасим Павлович,472,7и,4,Оболенин_ГП,I85k08AF
36,Трощинский Георгий Борисович,67,9д,3,Трощинский_ГБ,0L65E5xw
37,Поддубская Лиза Игоревна,496,10а,4,Поддубская_ЛИ,41cQ88G9
38,Телькова Валерия Олеговна,335,7х,4,Телькова_ВО,47WGp8nA
39,Чигварина Александра Алексеевна,428,10б,2,Чигварина_АА,A371Yhv9
40,Киреевский Артур Игоревич,119,7в,3,Киреевский_АИ,K90MPlV2
41,Шумейкин Роман Павлович,420,8в,5,Шумейкин_РП,d84U87O6
42,Трушинов Максим Алексиевич,82,8и,4,Трушинов_МА,Xx126FDl
43,Голюков Денис Сергеевич,62,11б,4,Голюков_ДС,R6192sI4
44,Хлиманкова Надежда Валерьевна,461,10б,3,Хлиманкова_НВ,SC59P76m
45,Кулаженков Алексей Олегович,367,10в,2,Кулаженков_АО,XU9PgF9q
46,Бутукин Владимир Адамович,221,7х,5,Бутукин_ВА,65AsheC9
47,Поддуев Леонид Олегович,149,9х,4,Поддуев_ЛО,0BmV4y0n
48,Ревцев Василий Павлович,360,9х,5,Ревцев_ВП,7SktD0Q9
49,Старокожев Артём Юрьевич,46,8д,3,Старокожев_АЮ,r4s8NT13
50,Светошев Максим Михаилович,321,10х,2,Светошев_ММ,XT54XRsn
51,Старынина Кристина Федоровна,266,9д,3,Старынина_КФ,F056m84J
52,Востров Дмитрий Денисович,282,9г,3,Востров_ДД,OWcF3Q53
53,Бураханова Анастасия Леонидовна,16,8г,2,Бураханова_АЛ,71G7J1pb
54,Понизов Виктор Кириллович,214,11и,5,Понизов_ВК,NMn538X8
55,Суздалев Валерий Алексеевич,66,11т,5,Суздалев_ВА,5944KsD2
56,Колендин Дмитрий Алексеевич,153,10в,4,Колендин_ДА,g9VDV0F2
57,Сулькова Екатерина Андреевна,325,8и,4,Сулькова_ЕА,R23A9jG4
58,Аржевитова Надежда Федоровна,242,10в,2,Аржевитова_НФ,eDSr1J01
59,Крассов Валерий Олегович,201,8х,5,Крассов_ВО,BPXr12zW
60,Сонураева Инна Андреевна,450,9т,3,Сонураева_ИА,yNppJY11
61,Пашин Роман Вадимович,204,10д,2,Пашин_РВ,54NI30y6
62,Фичкина Евгения Федоровна,29,11д,3,Фичкина_ЕФ,cMbKf6BR
63,Свилин Олег Виталиевич,123,8в,2,Свилин_ОВ,XX4ll2Fz
64,Рогоцкий Андрей Адамович,142,9в,2,Рогоцкий_АА,3eET85Xv
65,Ахантьев Игорь Валериевич,80,10д,5,Ахантьев_ИВ,0PkM90LA
66,Сочиникова Ксения Кирилловна,100,10д,2,Сочиникова_КК,t40GXNHf
67,Остюков Артур Романович,329,11и,3,Остюков_АР,J60pBuNh
68,Брюкина Оксана Викторовна,98,8в,5,Брюкина_ОВ,J9l78Yof
69,Кузовенков Игорь Юрьевич,322,9г,N,Кузовенков_ИЮ,qvYX51jV
70,Калухов Тарас Иванович,207,11а,3,Калухов_ТИ,1W2YeD8a
71,Батыров Пётр Виталиевич,227,7и,3,Батыров_ПВ,M1GBh9Em
72,Озрина Катерина Валерьевна,147,10а,4,Озрина_КВ,MIf397an
73,Декалова Полина Леонидовна,470,11д,5,Декалова_ПЛ,Ru711Q2M
74,Лосицкий Владимир Кириллович,369,9т,5,Лосицкий_ВК,76yh8VZ8
75,Магнусов Пётр Максимович,437,7и,5,Магнусов_ПМ,gVM95dIj
76,Лавренков Михаил Василиевич,188,9б,2,Лавренков_МВ,VShs890Y
77,Шушкалова Вероника Алексеевна,411,8т,5,Шушкалова_ВА,WT2CmnlK
78,Бороданова Маргарита Дмитриевна,118,7г,5,Бороданова_МД,6D03na0T
79,Циркина Виолетта Федоровна,231,9г,2,Циркина_ВФ,i465O78I
80,Болохина Екатерина Андреевна,194,11д,3,Болохина_ЕА,hED8E8l6
81,Чукалова Дарья Валерьевна,20,10г,4,Чукалова_ДВ,ymLC1JC4
82,Беловолов Степан Петрович,222,9д,2,Беловолов_СП,Wx06A1wC
83,Зудейкина Вероника Ивановна,166,8и,3,Зудейкина_ВИ,uwJ4OGEc
84,Макунова Мария Борисовна,47,9в,5,Макунова_МБ,E61hBg1K
85,Верзанский Геннадий Андреевич,497,7д,5,Верзанский_ГА,9K9Ywa89
86,Алтубин Ярослав Леонидович,414,10г,5,Алтубин_ЯЛ,CVKR30z8
87,Аузин Игорь Алексиевич,435,8х,5,Аузин_ИА,vTy2p47Q
88,Калыгин Степан Тимофеевич,353,8и,2,Калыгин_СТ,HD0fPx2l
89,Дурныгина Полина Игоревна,72,8и,2,Дурныгина_ПИ,EO7pEh2D
90,Антюфеева Александра Вадимовна,347,8и,2,Антюфеева_АВ,5Dsh4N56
91,Лощинский Борис Романович,210,10б,3,Лощинский_БР,949IPv5o
92,Ходорков Евгений Виталиевич,344,9г,5,Ходорков_ЕВ,AFm3rG20
93,Кафорин Федор Данилович,427,10д,3,Кафорин_ФД,334Ty5A4
94,Косынская Алиса Дмитриевна,40,9в,3,Косынская_АД,sC4R4k16
95,Беремцев Артём Антонович,434,11т,2,Беремцев_АА,XXZ51Stb
96,Влянская Мария Андреевна,490,7т,4,Влянская_МА,TO432dO1
97,Мыгеева Лиза Василевна,280,8в,5,Мыгеева_ЛВ,uAWFJ2vh
98,Акутникова Мария Алексеевна,173,11в,2,Акутникова_МА,iRzg1PQS
99,Карябкин Константин Максимович,89,7и,2,Карябкин_КМ,OUiSo5j3
100,Прилепина Яна Максимовна,30,10в,5,Прилепина_ЯМ,h641nZU0
101,Ведищев Никита Георгиевич,365,7и,5,Ведищев_НГ,6M3zS54K
102,Самчева Вероника Борисовна,287,10г,3,Самчева_ВБ,32XTu425
103,Пирцхалова Карина Леонидовна,452,10г,5,Пирцхалова_КЛ,4E4Wm9IH
104,Павлочев Денис Борисович,432,11д,5,Павлочев_ДБ,QxRl10Oz
105,Арашкова Екатерина Евгеньевна,356,8х,N,Арашкова_ЕЕ,15b3K8R3
106,Байсарова Людмила Василевна,215,11и,2,Байсарова_ЛВ,gDTx3411
107,Кудекина Зинаида Игоревна,250,10и,3,Кудекина_ЗИ,4953A0nN
108,Дерналов Виталий Викторович,1,9г,4,Дерналов_ВВ,AGi502l5
109,Сазинова Галина Романовна,61,9и,3,Сазинова_ГР,09SN35Vr
110,Остаченова Марина Эдуардовна,229,9т,5,Остаченова_МЭ,7QhsHGkY
111,Битюкова Яна Егоровна,488,9и,4,Битюкова_ЯЕ,Q5h0VC2l
112,Иваницкий Константин Борисович,232,8д,5,Иваницкий_КБ,07U4pD58
113,Белянский Владислав Игоревич,74,11б,5,Белянский_ВИ,0fp4CX64
114,Баранкин Артём Алексеевич,382,9т,2,Баранкин_АА,6TqG2K08
115,Шкабанова Софья Вадимовна,499,9х,4,Шкабанова_СВ,uD26U592
116,Полозлов Денис Адамович,155,8т,3,Полозлов_ДА,M18FHs8N
117,Жунина Светлана Михайловна,162,8в,3,Жунина_СМ,1W34cTeM
118,Пантыкин Борис Игоревич,245,9х,2,Пантыкин_БИ,lZ6FFK9l
119,Доутова Марина Богдановна,189,11х,2,Доутова_МБ,bTC0v86I
120,Трещалова Яна Андреевна,330,8б,3,Трещалова_ЯА,SAc0JcD5
121,Ивашечкин Александр Данилович,390,10т,4,Ивашечкин_АД,zEUxHo9D
122,Мазьянова Инна Богдановна,416,11в,4,Мазьянова_ИБ,xqWR66kW
123,Корогев Николай Евгеньевич,184,8б,5,Корогев_НЕ,591BPw1v
124,Заидова Галина Максимовна,88,9т,4,Заидова_ГМ,Cp2IoEkN
125,Рамхин Кирилл Алексиевич,459,9х,4,Рамхин_КА,O1H4y3kU
126,Кизбабаев Эдуард Фёдорович,415,11т,2,Кизбабаев_ЭФ,0A814e0Y
127,Соурчаков Ярослав Валериевич,268,8б,2,Соурчаков_ЯВ,fRi8vZHF
128,Мотяшева Алена Михайловна,404,7т,2,Мотяшева_АМ,I8Dy1Vmq
129,Горшкова Наталия Яковлевна,340,11а,2,Горшкова_НЯ,13P6Og36
130,Зябрицкий Игорь Виталиевич,332,7а,5,Зябрицкий_ИВ,9n0F1O2p
131,Шельдяев Игорь Юриевич,97,7д,5,Шельдяев_ИЮ,12aUNfBT
132,Шмелькин Максим Викторович,483,9т,5,Шмелькин_МВ,5z3uCqR1
133,Жалкин Алексей Алексеевич,43,7а,3,Жалкин_АА,63x1A8Q7
134,Худасов Денис Максимович,70,10д,2,Худасов_ДМ,96PXleaI
135,Швичкова Наталья Эдуардовна,398,7г,4,Швичкова_НЭ,5q6U29Fk
136,Едская Жанна Валерьевна,436,11в,4,Едская_ЖВ,2QH8m06v
137,Поморзина Полина Евгеньевна,122,7д,4,Поморзина_ПЕ,1mU6F9I0
138,Будачева Кира Олеговна,55,11х,4,Будачева_КО,xMU4T4A9
139,Молкаев Василий Валериевич,216,8д,2,Молкаев_ВВ,7Q8296xU
140,Яцынин Константин Тимофеевич,285,7г,2,Яцынин_КТ,1Z0Cg2B0
141,Маховиков Василий Петрович,391,7х,4,Маховиков_ВП,208yuTF5
142,Шаметова Евгения Вадимовна,463,7а,2,Шаметова_ЕВ,0FLSSd2g
143,Законнова Жанна Евгеньевна,442,11и,N,Законнова_ЖЕ,RvM7TQne
144,Перчихин Аркадий Тимофеевич,164,10т,3,Перчихин_АТ,WswX6M76
145,Бурдасова Ксения Игоревна,203,9а,3,Бурдасова_КИ,Ut48n3DM
146,Киссин Степан Иванович,251,7х,5,Киссин_СИ,dQ6l774P
147,Вапилина Мария Егоровна,77,7д,2,Вапилина_МЕ,55dWX8EA
148,Сигутина Дарья Федоровна,458,7б,2,Сигутина_ДФ,53WTw9SJ
149,Сошьяков Альберт Фёдорович,17,7т,4,Сошьяков_АФ,bG920L2o
150,Лугахина Клара Вадимовна,419,8в,4,Лугахина_КВ,hfq8QUT9
151,Логецкий Анатолий Виталиевич,372,11б,4,Логецкий_АВ,DQF3unKi
152,Ковайкова Юлия Егоровна,75,10г,2,Ковайкова_ЮЕ,MnVoU40t
153,Вермутский Валерий Петрович,447,9и,5,Вермутский_ВП,hTA2gnF0
154,Россомахов Олег Юриевич,56,8в,2,Россомахов_ОЮ,1Lh8QXMo
155,Циплакова Екатерина Егоровна,471,9б,5,Циплакова_ЕЕ,5IdZ6C1Q
156,Квятцева Алла Никитична,138,11в,2,Квятцева_АН,O253sXtA
157,Выхухолева Лариса Василевна,384,8б,5,Выхухолева_ЛВ,9k3PRzp5
158,Целохов Андрей Вадимович,433,8и,5,Целохов_АВ,MTWm14S6
159,Бендин Иван Яковлевич,71,8и,4,Бендин_ИЯ,PnmY8M34
160,Лазученков Василий Алексеевич,381,7х,2,Лазученков_ВА,N1D9j3h8
161,Скоропухов Михаил Василиевич,69,10и,3,Скоропухов_МВ,5AnjXTxG
162,Мухонкин Тарас Романович,126,9и,4,Мухонкин_ТР,CM52ut53
163,Камерцев Владимир Кириллович,303,7а,3,Камерцев_ВК,E9612Nj5
164,Сандрыкина Анна Олеговна,324,10т,2,Сандрыкина_АО,75eB0ZU0
165,Недбайлов Алексей Денисович,15,7т,2,Недбайлов_АД,6MA83Y8g
166,Серпков Ярослав Георгиевич,380,10б,4,Серпков_ЯГ,09G54t1X
167,Хатшуклов Аркадий Николаевич,42,11т,4,Хатшуклов_АН,529YQkma
168,Литвалиева Алиса Егоровна,10,11и,3,Литвалиева_АЕ,7Ge45B8R
169,Енесина Лиза Валерьевна,293,9б,5,Енесина_ЛВ,M455UTm5
170,Пикальков Эдуард Алексиевич,21,8д,5,Пикальков_ЭА,SEnV71gB
171,Сачинский Валентин Кириллович,125,10т,2,Сачинский_ВК,gGw59pWD
172,Тарзанова Евгения Аркадьевна,96,9д,2,Тарзанова_ЕА,7350rFFB
173,Лапундин Юрий Игоревич,267,8и,5,Лапундин_ЮИ,Mzf5BZ9o
174,Личева Лиза Михайловна,453,9б,3,Личева_ЛМ,V19WbGyh
175,Смароверов Яков Борисович,131,11в,4,Смароверов_ЯБ,85oQ7Dlm
176,Вереина Алла Василевна,295,10и,3,Вереина_АВ,pC2FJ84H
177,Погиблева Дарья Леонидовна,283,9в,5,Погиблева_ДЛ,ua67F93I
178,Байнова Анастасия Вадимовна,363,7б,3,Байнова_АВ,1m3X1U9A
179,Шиловский Вячеслав Максимович,438,9и,4,Шиловский_ВМ,4z1S76F2
180,Сыждиков Пётр Василиевич,494,11х,5,Сыждиков_ПВ,NQa6Kr16
181,Каценова Алёна Эдуардовна,165,11т,2,Каценова_АЭ,8Xm5032E
182,Мужицких Ева Олеговна,348,8х,3,Мужицких_ЕО,WO5H5U6a
183,Плеснецов Степан Юрьевич,22,10а,2,Плеснецов_СЮ,k00iMtE6
184,Игумнова Алёна Сергеевна,114,9д,4,Игумнова_АС,AghAeH46
185,Хадаров Владимир Валериевич,278,11т,5,Хадаров_ВВ,PpB7I8uK
186,Ступакова Кира Ивановна,421,8и,3,Ступакова_КИ,6z9MSKCo
187,Шоленинов Федор Максимович,286,11т,4,Шоленинов_ФМ,3G654B9l
188,Гундаров Руслан Николаевич,158,9д,4,Гундаров_РН,7s5f0NM7
189,Гречишева Марина Андреевна,464,7д,2,Гречишева_МА,Ce3DcXl8
190,Утилова Алена Андреевна,253,11д,3,Утилова_АА,26Fuw3RM
191,Роткичева Алиса Максимовна,410,10а,4,Роткичева_АМ,wBqxXXO8
192,Колтышева Марина Вадимовна,87,11г,4,Колтышева_МВ,62UL2Pb0
193,Гурычева Лариса Валерьевна,489,9б,2,Гурычева_ЛВ,wB5jQ8AM
194,Горцева Кристина Никитична,246,8и,4,Горцева_КН,fEGX2Z9e
195,Кутурин Геннадий Денисович,197,9в,2,Кутурин_ГД,4GQ22XCy
196,Стефанков Яков Евгеньевич,318,10г,3,Стефанков_ЯЕ,B98X0lXP
197,Множина Людмила Василевна,90,8б,2,Множина_ЛВ,Q4EBX1w1
198,Семисалов Георгий Иванович,316,9в,3,Семисалов_ГИ,L1EGh40J
199,Рогалов Альберт Валериевич,327,9б,2,Рогалов_АВ,1Z5H5mst
200,Черетаева Анастасия Олеговна,341,9б,2,Черетаева_АО,dVXaqUQ8
201,Радоминова Любовь Игоревна,25,9и,5,Радоминова_ЛИ,3g91Ht7U
202,Шувырина Лиза Андреевна,395,9а,5,Шувырина_ЛА,DlD8lUjD
203,Калиженков Семён Алексеевич,401,11а,4,Калиженков_СА,1R6EQB7r
204,Старокашин Константин Петрович,309,10а,3,Старокашин_КП,T90S7tXB
205,Малтоцов Аркадий Яковлевич,218,8а,3,Малтоцов_АЯ,Q952kOAJ
206,Кузеванова Ева Егоровна,116,7д,2,Кузеванова_ЕЕ,xa7DND8y
207,Нурулина Алёна Егоровна,284,9х,2,Нурулина_АЕ,jTTe6xM0
208,Лератов Герасим Сергеевич,374,10а,4,Лератов_ГС,930M6v8E
209,Людин Руслан Аркадиевич,498,7и,3,Людин_РА,396HO5Vr
210,Пурин Виктор Данилович,154,8и,5,Пурин_ВД,78JH2i81
211,Лютов Виктор Юрьевич,288,11г,2,Лютов_ВЮ,z2CTVC0n
212,Марюшкина Яна Федоровна,345,10д,5,Марюшкина_ЯФ,5f738XCr
213,Томилова Кристина Михайловна,492,11б,3,Томилова_КМ,UgukPR5W
214,Дистерев Валерий Валериевич,24,7г,3,Дистерев_ВВ,940NfkzB
215,Дочкин Геннадий Алексиевич,52,11и,5,Дочкин_ГА,DzxO0L8m
216,Иняхин Руслан Сергеевич,234,7и,5,Иняхин_РС,07NtDnW8
217,Знайкова Раиса Егоровна,148,11х,3,Знайкова_РЕ,GYHB5q57
218,Кашавцев Аркадий Леонидович,58,7а,4,Кашавцев_АЛ,4Ut53XC8
219,Пятернина Кристина Андреевна,445,7и,2,Пятернина_КА,PO0330tL
220,Гусеева Карина Викторовна,263,9и,2,Гусеева_КВ,628OXo4N
221,Кастева Яна Сергеевна,108,7и,2,Кастева_ЯС,367He16D
222,Гришанин Тарас Павлович,113,10т,2,Гришанин_ТП,wZ2OWwcG
223,Грамоткин Илья Викторович,195,8д,5,Грамоткин_ИВ,iWy837P6
224,Мелисин Геннадий Василиевич,465,10г,2,Мелисин_ГВ,uYO2MqZ2
225,Цинина Светлана Яковлевна,105,11г,5,Цинина_СЯ,11A0t2U8
226,Петов Георгий Адамович,57,9а,2,Петов_ГА,2i2VZ1En
227,Реева Валентина Максимовна,146,11и,5,Реева_ВМ,m34lVD74
228,Слесивых Мария Аркадьевна,35,7и,5,Слесивых_МА,MQUVm1wl
229,Афтаева Полина Ивановна,193,10д,5,Афтаева_ПИ,DbW87Bom
230,Кривицкий Валентин Виталиевич,208,8х,5,Кривицкий_ВВ,8Nz9P7lo
231,Чубатов Константин Леонидович,279,11а,4,Чубатов_КЛ,0a6XYQp5
232,Партенков Геннадий Павлович,418,8х,3,Партенков_ГП,08lmPBY7
233,Черушев Григорий Борисович,84,7г,4,Черушев_ГБ,4NcKlRO5
234,Тютекин Георгий Тимофеевич,262,7а,2,Тютекин_ГТ,6K01uqDm
235,Янкевский Вячеслав Адамович,167,11г,4,Янкевский_ВА,Yd6G0aBB
236,Сухручкина Клавдия Аркадьевна,177,7в,4,Сухручкина_КА,8K5wA4E8
237,Конофалова Клара Петровна,95,11д,5,Конофалова_КП,7821YLOl
238,Лигасов Михаил Павлович,491,11г,4,Лигасов_МП,TRnm9Q2G
239,Писарьков Альберт Игоревич,313,8в,4,Писарьков_АИ,CNoS5k1R
240,Варов Кирилл Иванович,28,8а,5,Варов_КИ,2QH3oHU4
241,Пурынов Евгений Петрович,244,9и,3,Пурынов_ЕП,uI9BcZJl
242,Супрутская Вероника Викторовна,187,9а,2,Супрутская_ВВ,v1M04rE7
243,Скроцкая Алина Федоровна,127,8г,3,Скроцкая_АФ,2C083c7C
244,Барадулин Вадим Юрьевич,281,11х,3,Барадулин_ВЮ,RlyE4d8Z
245,Точилин Дмитрий Фёдорович,476,8а,2,Точилин_ДФ,k5WJON39
246,Бикмуллин Руслан Валериевич,333,11т,2,Бикмуллин_РВ,W3692l1B
247,Серпичев Василий Алексиевич,394,10х,5,Серпичев_ВА,pq40o4IO
248,Вострышев Яков Аркадиевич,343,8г,5,Вострышев_ЯА,zZb5uJYW
249,Грушчева София Евгеньевна,480,11в,N,Грушчева_СЕ,xqS0Y6Ii
250,Кулапов Александр Юрьевич,109,9б,5,Кулапов_АЮ,U89gNmjD
251,Чибисенков Владислав Фёдорович,375,8х,3,Чибисенков_ВФ,v0rWR1Y6
252,Утилов Роман Василиевич,254,9х,2,Утилов_РВ,xIdE86m9
253,Татаурова Галина Федоровна,145,10т,4,Татаурова_ГФ,B9bH9116
254,Визавитина Наталия Леонидовна,101,10г,2,Визавитина_НЛ,XN18kP1P
255,Мягченков Артём Денисович,115,7б,4,Мягченков_АД,7Q50XyJA
256,Брикова Инна Богдановна,256,9б,4,Брикова_ИБ,PKcQcFm2
257,Наторкин Валентин Данилович,319,7и,2,Наторкин_ВД,73rH2DKU
258,Эштрекова Софья Алексеевна,76,9в,3,Эштрекова_СА,h7M38W22
259,Кутаманова Кира Андреевна,182,10т,2,Кутаманова_КА,tY84YKqr
260,Кыштымова Евгения Эдуардовна,255,8в,5,Кыштымова_ЕЭ,4GoJqS55
261,Ккнязева Клавдия Дмитриевна,34,7б,5,Ккнязева_КД,e9O0NB2R
262,Глаголина Алиса Никитична,249,9д,2,Глаголина_АН,P58xu0R4
263,Рисина Раиса Валерьевна,451,10а,4,Рисина_РВ,2Y6354Eu
264,Ребров Алексей Георгиевич,289,8и,3,Ребров_АГ,tYLCa8aM
265,Вырысалова Александра Евгеньевна,39,11и,2,Вырысалова_АЕ,VBjfKaA2
266,Гомольский Владимир Юриевич,314,11х,5,Гомольский_ВЮ,HC86a5U9
267,Швинова Марина Федоровна,271,8г,5,Швинова_МФ,d0hIIWwQ
268,Рудковская Инна Дмитриевна,6,7т,3,Рудковская_ИД,e14727NO
269,Решеткина Дарья Василевна,408,10и,3,Решеткина_ДВ,1KsKlYi2
270,Евстихеев Игорь Василиевич,422,10х,5,Евстихеев_ИВ,aZ174ZtA
271,Лазарина Алёна Федоровна,161,8б,3,Лазарина_АФ,WPeY8m10
272,Гляченков Григорий Николаевич,431,10а,5,Гляченков_ГН,SW502jCK
273,Чардынцева Алина Вадимовна,135,10д,3,Чардынцева_АВ,d562MS57
274,Скаредов Яков Иванович,337,9т,5,Скаредов_ЯИ,XMQ44rsG
275,Юрицкий Эдуард Денисович,192,7д,3,Юрицкий_ЭД,GcGW9Fzo
276,Кравчина Светлана Аркадьевна,413,11г,5,Кравчина_СА,A0j83D3Y
277,Чмареткова Полина Вадимовна,449,10а,2,Чмареткова_ПВ,On184C9L
278,Углова Галина Романовна,260,9г,3,Углова_ГР,9Ysn6N91
279,Згуровская Виктория Андреевна,220,9т,4,Згуровская_ВА,UtIOrn6P
280,Секерский Станислав Сергеевич,235,10а,4,Секерский_СС,9P8Pf1dI
281,Жевайкин Евгений Адамович,86,11г,3,Жевайкин_ЕА,XqN1GiKs
282,Коточигов Семён Игоревич,26,9д,5,Коточигов_СИ,EIn2Jpf5
283,Калонин Альберт Денисович,297,8б,2,Калонин_АД,0qV44PCg
284,Валягин Григорий Антонович,94,10в,4,Валягин_ГА,Y2h367JP
285,Коцева Кристина Николаевна,412,9г,3,Коцева_КН,U37b39MQ
286,Голина Кристина Максимовна,3,7х,3,Голина_КМ,lS41Il59
287,Батрамеев Анатолий Романович,354,9х,3,Батрамеев_АР,46PVqjrW
288,Чикмарев Валентин Валериевич,306,9и,5,Чикмарев_ВВ,D9z7GLaZ
289,Киницына Валерия Олеговна,202,7х,4,Киницына_ВО,18SHr79d
290,Числин Юрий Денисович,121,7в,2,Числин_ЮД,xsWQOw4C
291,Стебунова Юлия Романовна,358,9т,3,Стебунова_ЮР,E5n9M2Yv
292,Кацов Павел Павлович,236,10г,5,Кацов_ПП,RUx3hsAF
293,Гоцев Тарас Викторович,41,8в,3,Гоцев_ТВ,XUFTwc9r
294,Мотовицкий Роман Аркадиевич,31,11и,5,Мотовицкий_РА,90AoykK1
295,Чурзина Клара Егоровна,308,10б,3,Чурзина_КЕ,3O0h8W1P
296,Щепалкина Валерия Сергеевна,134,9б,4,Щепалкина_ВС,gp5VYf0D
297,Утимишев Ярослав Игоревич,239,11а,3,Утимишев_ЯИ,W2tqrGPP
298,Алуханов Кирилл Фёдорович,298,7т,2,Алуханов_КФ,d81zIM80
299,Полунеев Валентин Валериевич,307,8и,2,Полунеев_ВВ,r0Bl9HLz
300,Крупенова Наталия Андреевна,209,7в,5,Крупенова_НА,Bwt7PP5Z
301,Корнюшин Илья Юрьевич,44,10т,3,Корнюшин_ИЮ,yXw12Ux7
302,Паушева Виолетта Никитична,310,8г,4,Паушева_ВН,Z5ocNH84
303,Берзин Герасим Антонович,349,11т,5,Берзин_ГА,O2q86BP1
304,Шулунова Алла Алексеевна,54,7д,4,Шулунова_АА,AXHa705A
305,Трепашова София Яковлевна,399,11а,2,Трепашова_СЯ,s67hfITT
306,Чумейкин Константин Антонович,8,8б,5,Чумейкин_КА,8FtUkSS3
307,Польшиков Денис Игоревич,495,9и,2,Польшиков_ДИ,d9tKB3Qf
308,Медоусова Жанна Романовна,252,7б,2,Медоусова_ЖР,0IVg099B
309,Акуратова Клавдия Андреевна,92,9г,5,Акуратова_КА,0UT6cd9e
310,Курмеева Елизавета Валерьевна,486,8а,5,Курмеева_ЕВ,5hRg147M
311,Бадов Александр Аркадиевич,217,10г,3,Бадов_АА,iO1L17WW
312,Бакушин Эдуард Адамович,265,7б,5,Бакушин_ЭА,92xA6gyM
313,Чебина Инна Сергеевна,273,10т,2,Чебина_ИС,aUM4s34F
314,Подледнова Наталья Ивановна,112,11и,3,Подледнова_НИ,UkerH2X1
315,Садгеева Лиза Евгеньевна,460,11г,3,Садгеева_ЛЕ,Clq0VFtI
316,Акушин Борис Павлович,493,9т,2,Акушин_БП,w955T4qL
317,Аришев Руслан Кириллович,379,10т,3,Аришев_РК,9N5PSx9E
318,Гуслова Кристина Олеговна,389,9в,2,Гуслова_КО,3g4DM3EE
319,Глоточкина Оксана Аркадьевна,370,9и,5,Глоточкина_ОА,I1x8OQh3
320,Шапина Маргарита Романовна,163,8б,5,Шапина_МР,jTD27L12
321,Дурылин Георгий Валериевич,261,11т,4,Дурылин_ГВ,3DR04r6v
322,Болкисева Анна Викторовна,248,7х,4,Болкисева_АВ,Z5Q4D9mK
323,Багапов Вячеслав Сергеевич,99,7д,4,Багапов_ВС,1Zk2N4c4
324,Люцарева Яна Аркадьевна,376,11б,2,Люцарева_ЯА,iCx68B86
325,Боготынина София Егоровна,63,11б,5,Боготынина_СЕ,9DKow8eJ
